id,file,line,event,label,flow,handler,isCancelCta,isNoop,blocker
1,apps/empire_flutter/app/lib/main.dart,284,onPressed,Retry,callback/action,onRetry,False,False,none
2,apps/empire_flutter/app/lib/runtime/ai_coach_widget.dart,245,onPressed,,callback/action,_loading ? null : _sendMessage,False,False,none
3,apps/empire_flutter/app/lib/runtime/ai_coach_widget.dart,435,onTap,,callback/action,() => onFeedback!(true),False,False,none
4,apps/empire_flutter/app/lib/runtime/ai_coach_widget.dart,444,onTap,,callback/action,() => onFeedback!(false),False,False,none
5,apps/empire_flutter/app/lib/runtime/mvl_gate_widget.dart,294,onPressed,,callback/action,_submitting ? null : _submitExplainItBack,False,False,none
6,apps/empire_flutter/app/lib/runtime/mvl_gate_widget.dart,311,onPressed,,callback/action,_requestContestability,False,False,none
7,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,573,onPressed,Switch site,callback/action,() => _showSiteSwitcher(context,False,False,none
8,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,578,onPressed,Switch site,navigate,() => context.push('/settings'),False,False,none
9,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,583,onPressed,Settings,callback/action,() => _showLogoutDialog(context),False,False,none
10,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,614,onPressed,View All,callback/action,() => _showAllActionsSheet(context,False,False,none
11,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,638,onTap,,callback/action,() => _handleCardTap(context,False,False,none
12,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,772,onTap,,callback/action,() {,False,False,none
13,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,793,onPressed,Close,cancel/close,() => Navigator.pop(dialogContext),True,False,none
14,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,797,onPressed,Close,callback/action,() {,True,False,none
15,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,849,onTap,,callback/action,() {,False,False,none
16,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,876,onPressed,Cancel,cancel/close,() => Navigator.pop(dialogContext),True,False,none
17,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,880,onPressed,Cancel,callback/action,() async {,True,False,none
18,apps/empire_flutter/app/lib/offline/sync_status_widget.dart,76,onPressed,,callback/action,() => sync.retryFailed(),False,False,none
19,apps/empire_flutter/app/lib/router/role_gate.dart,77,onPressed,Go Back,callback/action,() => Navigator.of(context).pop(),True,False,none
20,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,102,onPressed,Refresh,callback/action,onRefresh,False,False,none
21,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,133,onTap,${occ.learnerCount ?? occ.roster.length} students,callback/action,() {,False,False,none
22,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,261,onPressed,All Present,callback/action,() => _markAll(roster,False,False,none
23,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,269,onPressed,All Absent,callback/action,() => _markAll(roster,False,False,none
24,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,316,onPressed,Save Attendance (${_attendance.length}/${roster.length}),callback/action,_attendance.length == roster.length,False,False,none
25,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,429,onTap,,callback/action,() => onStatusChanged(AttendanceStatus.present),False,False,none
26,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,437,onTap,,callback/action,() => onStatusChanged(AttendanceStatus.late),False,False,none
27,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,445,onTap,,callback/action,() => onStatusChanged(AttendanceStatus.absent),False,False,none
28,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,453,onTap,,callback/action,() => onStatusChanged(AttendanceStatus.excused),False,False,none
29,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,496,onTap,,callback/action,onTap,False,False,none
30,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,65,onPressed,New Invoice,callback/action,_createInvoice,False,False,none
31,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,116,onPressed,,callback/action,_exportFinancials,False,False,none
32,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,460,onPressed,Cancel,cancel/close,() => Navigator.pop(dialogContext),True,False,none
33,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,464,onPressed,Cancel,callback/action,() {,True,False,none
34,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,561,onPressed,Close,cancel/close,() => Navigator.pop(dialogContext),True,False,none
35,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,660,onPressed,,callback/action,() => _viewInvoice(context),False,False,none
36,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,665,onPressed,,callback/action,() => _sendInvoice(context),False,False,none
37,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,903,onPressed,,cancel/close,() => Navigator.pop(context),True,False,none
38,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,1015,onPressed,,callback/action,_createInvoice,False,False,none
39,apps/empire_flutter/app/lib/modules/hq_admin/hq_curriculum_page.dart,104,onPressed,New Curriculum,callback/action,() => _showCreateDialog(),False,False,none
40,apps/empire_flutter/app/lib/modules/hq_admin/hq_curriculum_page.dart,149,onTap,,callback/action,() => _showCurriculumDetails(curriculum),False,False,none
41,apps/empire_flutter/app/lib/modules/hq_admin/hq_curriculum_page.dart,247,onPressed,Close,cancel/close,() => Navigator.pop(context),True,False,none
42,apps/empire_flutter/app/lib/modules/hq_admin/hq_curriculum_page.dart,251,onPressed,Close,callback/action,() {,True,False,none
43,apps/empire_flutter/app/lib/modules/hq_admin/hq_curriculum_page.dart,304,onPressed,Cancel,cancel/close,() => Navigator.pop(context),True,False,none
44,apps/empire_flutter/app/lib/modules/hq_admin/hq_curriculum_page.dart,306,onPressed,Cancel,callback/action,() {,True,False,none
45,apps/empire_flutter/app/lib/modules/hq_admin/hq_safety_page.dart,163,onPressed,${incident.site} • ${_formatTime(incident.reportedAt)},callback/action,() => _showIncidentDetails(incident),False,False,none
46,apps/empire_flutter/app/lib/modules/hq_admin/hq_safety_page.dart,165,onTap,${incident.site} • ${_formatTime(incident.reportedAt)},callback/action,() => _showIncidentDetails(incident),False,False,none
