idx	doc	status	cwd	timeout_s	raw_command	executed_command	log	note
1	docs/SCHOLESA_AUDIT_REPORT_TEMPLATE.md	INVALID	-	-	firebase.json	-	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/01_invalid.log	file reference, not executable command
2	docs/IMPLEMENTATION_CHECKLIST.md	PASS	/Users/simonluke/dev/scholesa	240	npm run lint	npm run lint	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/02_npm-run-lint.log	
3	docs/IMPLEMENTATION_CHECKLIST.md	PASS	/Users/simonluke/dev/scholesa	240	npm run build	npm run build	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/03_npm-run-build.log	
4	docs/IMPLEMENTATION_CHECKLIST.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	firebase deploy --only firestore:rules	npx --yes firebase-tools deploy --only firestore:rules --project studio-3328096157-e3f79	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/04_npx-yes-firebase-tools-deploy-only-firestore-rules-project-studio-3328096157-e3f.log	
5	docs/IMPLEMENTATION_CHECKLIST.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	firebase deploy --only firestore:indexes	npx --yes firebase-tools deploy --only firestore:indexes --project studio-3328096157-e3f79	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/05_npx-yes-firebase-tools-deploy-only-firestore-indexes-project-studio-3328096157-e.log	
6	docs/QA_RUNBOOK.md	PASS	/Users/simonluke/dev/scholesa	90	npm run dev	npm run dev	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/06_npm-run-dev.log	
7	docs/QA_RUNBOOK.md	FAIL(1)	/Users/simonluke/dev/scholesa	360	npm run build && docker build	npm run build && docker build	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/07_npm-run-build-docker-build.log	
8	docs/QA_RUNBOOK.md	FAIL(1)	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	240	flutter pub get	flutter pub get	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/08_flutter-pub-get.log	
9	docs/QA_RUNBOOK.md	FAIL(1)	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	180	flutter run	flutter run	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/09_flutter-run.log	
10	docs/QA_RUNBOOK.md	FAIL(1)	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	900	flutter build apk	flutter build apk	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/10_flutter-build-apk.log	
11	docs/QA_RUNBOOK.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	npm run qa:telemetry-smoke	npm run qa:telemetry-smoke	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/11_npm-run-qa-telemetry-smoke.log	
12	docs/SDT_PHASE2_COMPLETION_REPORT.md	FAIL(1)	/Users/simonluke/dev/scholesa	180	npm run build && npm start	npm run build && npm start	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/12_npm-run-build-npm-start.log	
13	docs/ANALYTICS_AND_TELEMETRY_COMPLETE.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	node scripts/telemetry_live_regression_audit.js --strict --require-live-coverage --hours=720 --project=studio-3328096157-e3f79 --credentials=firebase-service-account.json	node scripts/telemetry_live_regression_audit.js --strict --require-live-coverage --hours=720 --project=studio-3328096157-e3f79 --credentials=firebase-service-account.json	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/13_node-scripts-telemetry-live-regression-audit-js-strict-require-live-coverage-hou.log	
14	docs/GOLD_RELEASE_AI_REGRESSION_REPORT.md	FAIL(1)	/Users/simonluke/dev/scholesa	300	npm audit --omit=dev	npm audit --omit=dev	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/14_npm-audit-omit-dev.log	
